"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Area total","num Area rptg","over votes","under votes"
196,"Thompson School District R2-J Board of Education Director - District E (Vote For 1)","Blake ''No Mandates'' Law","1",18956,46.40,3885280,1560661,3,3,"0","0"
197,"Thompson School District R2-J Board of Education Director - District E (Vote For 1)","Alexandra Lessem","2",21898,53.60,3885280,1560661,3,3,"0","0"
198,"Thompson School District R2-J Board of Education Director - District F (Vote For 1)","Barbara Kruse","1",20257,51.56,3885280,1560661,3,3,"0","0"
199,"Thompson School District R2-J Board of Education Director - District F (Vote For 1)","Lisa Winbourn","2",19034,48.44,3885280,1560661,3,3,"0","0"
200,"Weld County School District RE-5J Director - District A (Vote For 1)","Sara Hall","1",2679,100.00,3885280,1560661,2,2,"0","0"
201,"Weld County School District RE-5J Director - District C (Vote For 1)","Write-in","1",189,100.00,3885280,1560661,2,2,"0","0"
202,"Weld County School District RE-5J Director - District E (Vote For 1)","Thomas Farmer","1",1386,44.71,3885280,1560661,2,2,"0","0"
203,"Weld County School District RE-5J Director - District E (Vote For 1)","Michael Wailes","2",1714,55.29,3885280,1560661,2,2,"0","0"
204,"Town of Windsor Ballot Question 3A (Vote For 1)","Yes/For","Y",8369,76.62,3885280,1560661,2,2,"0","0"
205,"Town of Windsor Ballot Question 3A (Vote For 1)","No/Against","N",2554,23.38,3885280,1560661,2,2,"0","0"
206,"Haxtun School District RE-2J Board of Education Director (Vote For 3)","Cole Fix","1",214,12.11,3885280,1560661,4,4,"0","0"
207,"Haxtun School District RE-2J Board of Education Director (Vote For 3)","Christi Anne Gibson","2",368,20.83,3885280,1560661,4,4,"0","0"
208,"Haxtun School District RE-2J Board of Education Director (Vote For 3)","Dean Michael","3",441,24.96,3885280,1560661,4,4,"0","0"
209,"Haxtun School District RE-2J Board of Education Director (Vote For 3)","Jay Wisdom","4",195,11.04,3885280,1560661,4,4,"0","0"
210,"Haxtun School District RE-2J Board of Education Director (Vote For 3)","Audree Edwards","5",424,24.00,3885280,1560661,4,4,"0","0"
211,"Haxtun School District RE-2J Board of Education Director (Vote For 3)","Spencer Holcomb","6",125,7.07,3885280,1560661,4,4,"0","0"
212,"Delta County Public Library District Ballot Issue 7A (Vote For 1)","Yes/For","Y",5455,58.61,3885280,1560661,2,2,"0","0"
213,"Delta County Public Library District Ballot Issue 7A (Vote For 1)","No/Against","N",3853,41.39,3885280,1560661,2,2,"0","0"
214,"Brush School District RE-2J School Director (Vote For 4)","Bryson Miller ","1",1324,21.61,3885280,1560661,2,2,"0","0"
215,"Brush School District RE-2J School Director (Vote For 4)","Bradley Mortensen ","2",1448,23.63,3885280,1560661,2,2,"0","0"
216,"Brush School District RE-2J School Director (Vote For 4)","Derek Windsheimer ","3",1233,20.12,3885280,1560661,2,2,"0","0"
217,"Brush School District RE-2J School Director (Vote For 4)","Brandy Hansen","4",1283,20.94,3885280,1560661,2,2,"0","0"
218,"Brush School District RE-2J School Director (Vote For 4)","Margaret ''Meg'' Pfau","5",840,13.71,3885280,1560661,2,2,"0","0"
219,"Wiggins School District RE-50J School Director (Vote For 2)","Derek Pope","1",715,39.92,3885280,1560661,3,3,"0","0"
220,"Wiggins School District RE-50J School Director (Vote For 2)","Val Loose","2",438,24.46,3885280,1560661,3,3,"0","0"
221,"Wiggins School District RE-50J School Director (Vote For 2)","Mike Miller","3",638,35.62,3885280,1560661,3,3,"0","0"
222,"Wiggins School District RE-50J Ballot Issue 5W (Vote For 1)","Yes/For","Y",603,51.23,3885280,1560661,3,3,"0","0"
223,"Wiggins School District RE-50J Ballot Issue 5W (Vote For 1)","No/Against","N",574,48.77,3885280,1560661,3,3,"0","0"
224,"Wiley School District RE-13 JT Director (Vote For 4)","Jenna Davis","1",221,15.21,3885280,1560661,2,2,"0","0"
225,"Wiley School District RE-13 JT Director (Vote For 4)","Stacey Stewart","2",93,6.40,3885280,1560661,2,2,"0","0"
226,"Wiley School District RE-13 JT Director (Vote For 4)","Raul Pineda","3",123,8.47,3885280,1560661,2,2,"0","0"
227,"Wiley School District RE-13 JT Director (Vote For 4)","Joseph Wagner","4",128,8.81,3885280,1560661,2,2,"0","0"
228,"Wiley School District RE-13 JT Director (Vote For 4)","Brad Lubbers","5",188,12.94,3885280,1560661,2,2,"0","0"
229,"Wiley School District RE-13 JT Director (Vote For 4)","Lisa Schlotterhausen","6",110,7.57,3885280,1560661,2,2,"0","0"
230,"Wiley School District RE-13 JT Director (Vote For 4)","Tandy Bitner","7",170,11.70,3885280,1560661,2,2,"0","0"
231,"Wiley School District RE-13 JT Director (Vote For 4)","Joshua Weimer","8",195,13.42,3885280,1560661,2,2,"0","0"
232,"Wiley School District RE-13 JT Director (Vote For 4)","Neil Mauch","9",225,15.49,3885280,1560661,2,2,"0","0"
233,"South Routt School District RE-3 Director - District 1 (Vote For 1)","Loren Lance Miles","1",626,100.00,3885280,1560661,2,2,"0","0"
234,"South Routt School District RE-3 Director - District 3 (Vote For 1)","James Hoff","1",647,100.00,3885280,1560661,2,2,"0","0"
235,"South Routt School District RE-3 Director - District 4 (Vote For 1)","Colette Burris","1",586,100.00,3885280,1560661,2,2,"0","0"
236,"South Routt School District RE-3 Director - District 6 (Vote For 1)","Stephanie Carolus","1",384,49.87,3885280,1560661,2,2,"0","0"
237,"South Routt School District RE-3 Director - District 6 (Vote For 1)","Jeffery T. Clyncke","2",386,50.13,3885280,1560661,2,2,"0","0"
238,"Center Consolidated School District 26JT Director - District A (Vote For 1)","G. Lyn Bogle","1",273,62.76,3885280,1560661,3,3,"0","0"
239,"Center Consolidated School District 26JT Director - District A (Vote For 1)","Miquel Rios","2",162,37.24,3885280,1560661,3,3,"0","0"
240,"Center Consolidated School District 26JT Director - District B (Vote For 1)","Misty Palacios","1",323,100.00,3885280,1560661,3,3,"0","0"
241,"Sargent School District RE-33J Director - Four Year Term (Vote For 3)","Lorena Price","1",302,33.89,3885280,1560661,2,2,"0","0"
242,"Sargent School District RE-33J Director - Four Year Term (Vote For 3)","Matthew Smartt","2",284,31.87,3885280,1560661,2,2,"0","0"
243,"Sargent School District RE-33J Director - Four Year Term (Vote For 3)","Michele Peterson","3",305,34.23,3885280,1560661,2,2,"0","0"
244,"Sargent School District RE-33J Director - Two Year Term (Vote For 1)","Clayton Mitchell","1",170,44.16,3885280,1560661,2,2,"0","0"
245,"Sargent School District RE-33J Director - Two Year Term (Vote For 1)","Nathan Burkhart","2",215,55.84,3885280,1560661,2,2,"0","0"
246,"Sangre de Cristo School District RE-22J Director - At-Large (Vote For 2)","Lance D. Curtis","1",198,35.61,3885280,1560661,2,2,"0","0"
247,"Sangre de Cristo School District RE-22J Director - At-Large (Vote For 2)","Kristin Kerrick Lane","2",165,29.68,3885280,1560661,2,2,"0","0"
248,"Sangre de Cristo School District RE-22J Director - At-Large (Vote For 2)","Stacey Lynn Eskew","3",193,34.71,3885280,1560661,2,2,"0","0"
249,"City of Brighton Mayor (Vote For 1)","Gregory Mills","1",3599,47.24,3885280,1560661,2,2,"0","0"
250,"City of Brighton Mayor (Vote For 1)","Wayne Scott","2",1337,17.55,3885280,1560661,2,2,"0","0"
251,"City of Brighton Mayor (Vote For 1)","Laurie D. Lozano Maier","3",2682,35.21,3885280,1560661,2,2,"0","0"
252,"City of Longmont City Council Member - At-Large (Vote For 2)","Tallis Salamatian","1",5596,11.73,3885280,1560661,2,2,"0","0"
253,"City of Longmont City Council Member - At-Large (Vote For 2)","Diane Crist","2",7224,15.15,3885280,1560661,2,2,"0","0"
254,"City of Longmont City Council Member - At-Large (Vote For 2)","Sean P. McCoy","3",8975,18.82,3885280,1560661,2,2,"0","0"
255,"City of Longmont City Council Member - At-Large (Vote For 2)","Aren Rodriguez","4",10129,21.24,3885280,1560661,2,2,"0","0"
256,"City of Longmont City Council Member - At-Large (Vote For 2)","Shiquita Yarbrough","5",11054,23.18,3885280,1560661,2,2,"0","0"
257,"City of Longmont City Council Member - At-Large (Vote For 2)","Jeremy Dejuan Johnson","6",4711,9.88,3885280,1560661,2,2,"0","0"
258,"City of Longmont Mayor (Vote For 1)","Joan Peck","1",11522,41.44,3885280,1560661,2,2,"0","0"
259,"City of Longmont Mayor (Vote For 1)","Gregory Harris","2",5834,20.98,3885280,1560661,2,2,"0","0"
260,"City of Longmont Mayor (Vote For 1)","Tim Waters","3",10447,37.58,3885280,1560661,2,2,"0","0"
261,"City of Northglenn Council Member - Ward 2 (Vote For 1)","Jay Michael Jaramillo","1",706,50.04,3885280,1560661,2,2,"0","0"
262,"City of Northglenn Council Member - Ward 2 (Vote For 1)","Everett E. Renberg","2",289,20.48,3885280,1560661,2,2,"0","0"
263,"City of Northglenn Council Member - Ward 2 (Vote For 1)","Gerald Montour","3",416,29.48,3885280,1560661,2,2,"0","0"
264,"City of Brighton Councilmember - Ward 1 (Vote For 1)","Matt Johnston","1",1461,67.64,3885280,1560661,2,2,"0","0"
265,"City of Brighton Councilmember - Ward 1 (Vote For 1)","Norman R. Brown, Jr.","2",699,32.36,3885280,1560661,2,2,"0","0"
266,"City of Brighton Councilmember - Ward 2 (Vote For 1)","Ann Taddeo","1",979,100.00,3885280,1560661,2,2,"0","0"
267,"City of Longmont City Council Member - Ward 2 (Vote For 1)","Marcia Martin","1",7150,100.00,3885280,1560661,1,1,"0","0"
268,"Weld County School District RE-3J Director - District A (Vote For 1)","Hollee Hayes","1",1738,100.00,3885280,1560661,2,2,"0","0"
269,"Weld County School District RE-3J Director - District B (Vote For 1)","Fred Jensen","1",1759,100.00,3885280,1560661,2,2,"0","0"
